국가별,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
오만,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
오세아니아,,,,,,,,,,
오스트레일리아,1.11,1.33,1.35,1.30,1.34,1.44,1.45,1.33,1.44,1.51
온두라스,20.99,21.95,22.84,23.49,23.90,24.51,24.58,24.02,24.49,24.60
요르단,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
우간다,2599.79,3240.65,3420.10,3611.22,3727.07,3704.05,3718.25,3587.05,3689.82,3726.14
우루과이,23.25,27.33,30.16,28.68,30.73,35.26,42.01,43.55,41.17,38.82
우즈베키스탄,2310.95,2567.99,2965.25,5113.88,8069.61,8836.79,10054.26,10609.46,11050.15,11734.83
우크라이나,11.89,21.84,25.55,26.60,27.20,25.85,26.96,27.29,32.34,36.57
유럽,,,,,,,,,,
유로지역,0.75,0.90,0.90,0.89,0.85,0.89,0.88,0.85,0.95,0.92
이라크,1166.00,1167.33,1182.00,1184.00,1182.75,1182.00,1192.00,1450.00,1450.00,1312.50
이란,25941.66,29011.49,30914.85,33226.30,40864.33,42000.00,42000.00,42000.00,42000.00,42000.00
이스라엘,3.58,3.89,3.84,3.60,3.59,3.56,3.44,3.23,3.36,3.67
이집트,7.08,7.69,10.03,17.78,17.77,16.77,15.76,15.64,19.16,30.63
인도,61.03,64.15,67.20,65.12,68.39,70.42,74.10,73.92,78.60,82.60
인도네시아,11865.21,13389.41,13308.33,13380.83,14236.94,14147.67,14582.20,14308.14,14849.85,15236.88
일본,105.94,121.04,108.79,112.17,110.42,109.01,106.77,109.75,131.50,140.49
자메이카,110.93,116.97,125.10,127.96,128.87,133.31,142.40,150.79,153.43,154.16
잠비아,6.15,8.63,10.31,9.52,10.46,12.89,18.34,20.02,16.94,20.21
적도기니,493.76,591.21,592.61,580.66,555.45,585.91,575.59,554.53,623.76,606.57
조지아,1.77,2.27,2.37,2.51,2.53,2.82,3.11,3.22,2.92,2.63
중국,6.14,6.23,6.64,6.76,6.62,6.91,6.90,6.45,6.74,7.08
중앙아프리카공화국,493.76,591.21,592.61,580.66,555.45,585.91,575.59,554.53,623.76,606.57
지부티,177.72,177.72,177.72,177.72,177.72,177.72,177.72,177.72,177.72,177.72
차드,493.76,591.21,592.61,580.66,555.45,585.91,575.59,554.53,623.76,606.57
체코,20.76,24.60,24.44,23.38,21.73,22.93,23.21,21.68,23.36,22.20
칠레,570.35,654.12,676.96,648.83,641.28,702.90,792.73,758.96,873.31,840.07
카메룬,493.76,591.21,592.61,580.66,555.45,585.91,575.59,554.53,623.76,606.57
카보베르데,83.03,99.39,99.69,97.81,93.41,98.50,96.80,93.22,104.86,101.80
카자흐스탄,179.19,221.73,342.16,326.00,344.71,382.75,412.95,425.91,460.17,456.17
카타르,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64
캄보디아,4037.50,4067.75,4058.69,4050.58,4051.17,4061.15,4092.78,4098.72,4102.04,4110.65
캐나다,1.10,1.28,1.33,1.30,1.30,1.33,1.34,1.25,1.30,1.35
케냐,87.92,98.18,101.50,103.41,101.30,101.99,106.45,109.64,117.87,139.85
케이맨제도,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
코모로,370.32,443.41,444.45,435.49,416.58,439.46,430.72,415.96,467.18,454.99
